from,to,distance,cost
78,455,,0.31
455,225,,3.783
560,546,,0.488
546,348,,1.486
348,98,,4.337
664,111,,2.252
14,487,,1.198
815,713,,1.5519999999999998
634,559,,1.569
76,325,,0.711
819,76,,0.578
789,860,,2.589
44,648,,0.736
554,377,,1.236
652,712,,0.973
1,179,,0.391
228,509,,1.767
377,686,,1.57
288,706,,0.481
425,604,,0.384
269,471,,0.872
480,757,,0.757
235,654,,7.281000000000001
354,851,,0.851
608,21,,1.242
279,735,,2.005
309,252,,0.402
63,135,,1.091
681,615,,0.941
127,778,,0.503
373,401,,0.607
493,81,,0.863
225,11,,1.6569999999999998
129,351,,0.275
355,766,,0.705
733,594,,1.393
131,267,,0.7879999999999999
611,533,,0.789
392,611,,0.79
267,190,,0.741
508,486,,0.7859999999999999
467,873,,0.722
676,174,,0.947
852,550,,0.705
273,818,,1.912
16,139,,1.389
755,233,,0.526
143,336,,1.6869999999999998
833,842,,3.388
154,192,,11.022
846,794,,0.34
794,311,,2.089
343,707,,1.4480000000000002
544,689,,2.093
382,562,,0.289
882,788,,0.336
385,236,,0.828
74,605,,0.882
502,567,,0.419
678,641,,0.27
31,347,,0.032
347,107,,3.5610000000000004
741,678,,1.37
861,740,,2.37
613,829,,0.619
107,578,,1.699
829,741,,1.849
578,8,,1.507
201,613,,1.3769999999999998
395,208,,1.21
8,409,,1.571
522,201,,1.476
682,522,,0.272
409,609,,0.304
497,682,,1.685
609,169,,1.429
169,758,,1.011
50,759,,2.373
758,479,,0.321
479,53,,4.415
53,684,,2.344
644,50,,5.004
684,296,,19.138
696,644,,2.406
437,334,,2.0340000000000003
380,882,,0.993
551,257,,1.944
257,230,,0.353
397,699,,0.598
567,114,,0.307
7,343,,0.353
405,432,,0.361
759,497,,0.255
641,846,,1.78
108,226,,0.497
132,646,,1.406
518,98,,7.349
432,31,,2.279
111,148,,0.564
103,158,,2.004
38,46,,5.834
281,864,,2.6260000000000003
281,357,,1.112
632,38,,1.127
298,661,,1.224
570,3,,4.033
264,396,,20.539
482,744,,0.483
359,525,,0.8340000000000001
4,547,,1.16
447,37,,0.925
415,534,,1.182
869,374,,0.884
690,645,,0.805
645,756,,0.966
756,238,,0.481
238,580,,0.972
413,477,,0.762
580,669,,0.805
669,700,,0.818
798,810,,0.72
534,538,,0.972
538,824,,1.132
719,865,,1.568
824,543,,1.827
404,719,,1.13
700,353,,0.3879999999999999
40,798,,0.815
163,705,,1.04
596,468,,2.272
28,677,,2.093
390,161,,1.7619999999999998
461,629,,3.822
629,390,,5.981
629,262,,1.591
115,183,,1.607
10,340,,9.636
340,696,,19.063
842,143,,1.548
790,386,,0.581
840,834,,3.059
543,275,,2.31
691,551,,1.394
707,544,,0.497
121,469,,2.077
22,121,,1.751
547,240,,0.255
701,583,,0.778
788,573,,0.785
488,790,,0.675
312,765,,0.7390000000000001
517,867,,0.469
52,835,,5.28
337,540,,1.227
159,38,,2.662
159,337,,0.336
510,159,,0.8029999999999999
621,515,,6.499
658,439,,1.033
62,462,,0.588
241,813,,0.963
321,175,,0.8079999999999999
802,321,,0.48
813,814,,2.34
492,802,,0.48
141,358,,1.7719999999999998
834,162,,1.707
139,1,,4.561
661,182,,1.028
318,73,,1.202
293,30,,0.768
54,465,,0.96
730,285,,0.962
858,441,,1.164
328,685,,0.223
324,453,,0.693
470,520,,0.6609999999999999
856,548,,0.481
180,859,,0.789
276,180,,0.482
548,380,,0.498
308,2,,0.946
427,502,,1.19
662,116,,1.139
0,475,,0.962
866,293,,0.962
364,87,,0.718
553,443,,1.648
665,553,,0.96
342,806,,0.935
248,753,,0.6709999999999999
742,248,,0.319
457,110,,3.772
457,464,,2.7430000000000003
839,189,,1.287
803,457,,0.644
428,803,,2.086
189,539,,2.09
275,839,,0.802
622,258,,2.025
399,622,,0.321
539,444,,1.77
806,399,,0.997
753,665,,0.927
832,342,,0.66
469,828,,1.288
828,715,,1.449
715,281,,4.011
715,624,,1.769
624,881,,0.481
46,478,,2.41
478,410,,2.411
410,692,,0.48
692,243,,4.972
243,428,,2.062
444,211,,0.31
211,433,,4.614
760,459,,0.948
433,631,,0.325
631,809,,2.591
254,422,,2.166
307,254,,0.637
616,307,,1.94
423,402,,0.654
728,281,,5.496
728,423,,2.9
809,728,,2.521
422,219,,1.524
219,815,,3.754
881,46,,2.414
402,616,,1.3090000000000002
464,742,,1.121
258,275,,0.7070000000000001
142,426,,4.148
740,666,,0.51
418,741,,2.841
769,43,,0.341
43,119,,0.61
119,234,,0.7020000000000001
718,775,,0.894
234,584,,0.34
584,745,,0.425
313,379,,0.409
379,693,,1.585
745,313,,1.125
360,33,,0.715
693,593,,0.354
593,485,,0.835
48,507,,1.354
485,642,,0.852
642,504,,1.053
816,48,,0.861
504,47,,1.088
47,86,,0.959
145,557,,1.4280000000000002
86,855,,1.874
292,145,,0.648
557,816,,0.72
507,711,,0.534
711,260,,1.222
260,329,,0.308
329,360,,0.93
33,221,,0.32
221,718,,0.445
775,268,,0.3429999999999999
268,817,,1.15
817,418,,0.518
666,769,,1.413
416,484,,0.513
484,617,,0.959
647,154,,9.751
330,39,,14.042
515,330,,0.889
17,141,,1.606
338,737,,0.799
774,595,,1.4880000000000002
776,338,,1.4880000000000002
595,625,,1.604
442,776,,1.608
625,524,,0.986
13,39,,1.212
13,74,,0.546
370,42,,0.883
537,13,,0.8420000000000001
496,521,,2.095
521,400,,0.6409999999999999
463,671,,0.2239999999999999
230,725,,1.733
811,142,,1.311
530,463,,0.319
36,278,,1.133
202,218,,2.959
531,694,,2.01
77,416,,0.61
689,382,,0.079
588,612,,1.492
857,167,,0.416
400,831,,0.868
419,370,,1.205
771,630,,1.126
265,365,,1.012
161,271,,1.594
617,461,,1.751
334,714,,2.162
208,256,,1.023
417,476,,0.1119999999999999
256,639,,1.036
256,199,,4.669
878,687,,0.77
583,503,,2.217
503,633,,0.804
92,878,,2.213
434,305,,1.413
69,316,,0.639
722,434,,0.6409999999999999
316,381,,0.878
320,589,,0.894
291,545,,0.225
633,291,,0.482
217,92,,0.8029999999999999
140,837,,0.6709999999999999
362,294,,0.733
150,558,,0.483
868,213,,0.608
677,523,,0.531
246,64,,0.375
227,653,,2.674
366,403,,0.289
284,384,,1.804
384,698,,2.903
529,366,,1.7990000000000002
698,482,,2.414
352,529,,2.903
744,575,,0.161
575,376,,4.843
148,214,,1.16
860,716,,1.228
799,79,,0.809
59,667,,0.889
746,59,,0.807
198,378,,1.465
98,57,,0.815
420,96,,2.06
240,683,,7.196
782,16,,1.722
843,253,,3.809
353,415,,1.961
663,789,,17.238
591,600,,8.862
374,40,,1.471
477,498,,1.596
710,843,,0.785
396,352,,6.295999999999999
9,153,,310.6
153,62,,330.9
62,111,,332.9
111,11,,324.2
11,28,,336.0
28,169,,133.7
138,135,,354.7
135,133,,387.9
133,163,,337.1
163,20,,352.0
20,19,,420.8
19,14,,351.3
14,39,,340.2
39,164,,350.3
164,167,,365.2
167,70,,359.0
70,59,,388.2
59,58,,305.7
58,67,,294.4
67,66,,299.5
66,55,,313.3
55,53,,332.1
53,150,,278.9
150,61,,308.4
61,64,,311.4
64,63,,243.6
47,65,,372.8
65,48,,319.4
48,49,,309.7
49,54,,320.5
54,56,,318.3
56,57,,297.9
57,68,,293.5
68,69,,342.5
69,60,,318.0
60,17,,305.9
17,5,,321.4
5,18,,402.2
18,22,,447.4
22,30,,377.5
30,29,,417.7
29,21,,360.8
21,132,,407.6
132,134,,386.9
134,136,,350.2
123,121,,326.3
121,140,,385.2
140,118,,393.0
118,96,,296.7
96,94,,398.2
94,86,,337.1
86,78,,473.8
78,46,,353.4
46,152,,385.7
152,157,,350.0
157,35,,354.4
35,77,,356.1
77,52,,354.2
52,3,,357.8
3,16,,382.4
16,0,,55.7
42,12,,335.1
12,139,,328.8
139,168,,412.6
168,154,,337.3
154,143,,370.7
143,10,,6.3
107,105,,354.6
105,104,,386.9
104,148,,362.1
148,97,,316.3
97,101,,380.7
101,137,,361.4
137,102,,365.5
102,24,,375.5
24,166,,312.2
129,156,,256.1
156,33,,329.1
33,32,,356.5
91,89,,405.6
89,147,,347.0
147,15,,351.7
15,44,,339.5
44,41,,350.8
41,43,,322.6
43,100,,338.9
100,83,,347.9
83,87,,327.2
87,88,,321.0
88,75,,335.8
75,51,,384.8
51,73,,391.1
73,71,,289.3
31,155,,260.0
155,34,,320.4
34,128,,393.3
145,115,,399.4
115,112,,328.1
112,8,,469.4
8,117,,816.2
117,125,,397.1
125,127,,372.7
127,109,,380.5
109,161,,355.5
161,110,,367.7
110,160,,102.0
72,159,,342.9
159,50,,383.3
50,74,,354.1
74,82,,350.2
82,81,,335.4
81,99,,391.6
99,84,,354.9
84,13,,306.4
13,40,,327.4
40,162,,413.9
162,108,,301.9
108,146,,317.8
146,85,,376.6
85,90,,347.0
26,27,,341.6
27,6,,359.4
6,149,,417.8
149,126,,388.0
126,124,,384.3
124,7,,763.3
7,114,,323.1
114,113,,351.6
113,116,,411.9
116,144,,262.0
25,103,,350.2
103,23,,376.3
23,165,,396.4
165,38,,381.0
38,92,,368.0
92,37,,336.3
37,130,,357.8
130,106,,532.3
106,131,,166.5
1,2,,371.6
2,4,,338.1
4,76,,429.0
76,36,,366.1
36,158,,344.5
158,151,,350.1
151,45,,358.8
45,93,,340.9
93,80,,329.9
80,79,,384.1
79,95,,335.7
95,98,,320.9
98,119,,340.3
119,120,,376.8
120,122,,393.1
122,141,,428.7
141,142,,359.3
30,165,,379.6
165,29,,41.7
29,38,,343.3
65,72,,297.9
72,48,,21.5
17,153,,375.6
153,5,,256.3
153,62,,330.9
18,6,,499.4
6,22,,254.0
22,149,,185.4
22,4,,257.9
4,30,,236.8
30,76,,307.0
95,98,,320.9
98,144,,45.1
45,93,,340.9
93,106,,112.2
162,151,,113.6
151,108,,192.9
108,45,,359.8
146,92,,311.2
92,85,,343.9
85,37,,373.2
13,169,,326.2
169,40,,96.1
124,13,,460.7
13,7,,305.5
7,40,,624.1
124,169,,145.2
169,7,,631.5
90,132,,152.2
26,32,,106.7
9,129,,148.3
129,153,,219.6
31,26,,116.0
26,155,,270.7
9,128,,142.2
128,153,,215.0
153,167,,269.7
167,62,,64.8
62,70,,332.6
124,169,,145.2
169,7,,631.5
44,169,,397.8
169,41,,124.0
44,124,,375.7
124,41,,243.9
41,7,,519.4
6,14,,289.3
14,149,,259.0
149,39,,206.9
144,98,,45.1
19,4,,326.8
4,14,,178.6
14,76,,299.0
15,151,,136.4
151,44,,203.1
45,106,,260.6
106,93,,112.2
20,165,,132.5
165,19,,289.2
89,92,,323.2
92,147,,321.9
147,37,,48.2
133,91,,152.8
91,163,,313.6
150,71,,221.1
71,61,,89.6
78,107,,143.9
107,46,,236.3
104,147,,277.5
147,148,,84.7
20,101,,201.2
101,19,,534.4
19,137,,245.5
8,42,,759.5
42,117,,58.9
44,42,,342.3
42,41,,102.5
44,8,,789.1
8,41,,657.4
41,117,,160.5
168,167,,172.4
167,154,,165.2
143,128,,81.9
128,10,,88.2
118,145,,250.6
145,96,,85.1
15,152,,135.0
152,44,,204.6
19,77,,320.7
77,14,,299.8
14,52,,127.6
14,127,,314.8
127,39,,280.4
39,109,,237.0
31,160,,116.5
160,155,,272.4
133,91,,152.8
91,163,,313.6
150,71,,221.1
71,61,,89.6
32,160,,107.7
72,162,,3274.4
162,13,,554.5
162,40,,413.9
65,72,,297.9
72,48,,21.5
13,42,,319.8
42,40,,40.7
8,42,,759.5
42,117,,58.9
8,13,,450.3
13,117,,378.5
117,40,,64.0
46,162,,391.6
162,152,,115.3
152,108,,191.4
104,108,,375.9
108,148,,311.6
148,146,,80.0
21,90,,396.9
90,132,,152.2
101,29,,252.3
29,137,,110.7
77,22,,353.8
22,52,,227.8
52,30,,186.6
127,18,,425.2
18,109,,439.1
109,22,,135.5
168,17,,232.7
17,154,,294.2
154,5,,166.3
78,107,,143.9
107,46,,236.3
118,145,,250.6
145,96,,85.1
